CA: ['3', ' 85', ' 60', ' 68'] : 100 : Isomorphic CA: [3, 153, 15, 68]
CA: ['3', ' 85', ' 195', ' 17'] : 100 : Isomorphic CA: [3, 102, 15, 17]
CA: ['3', ' 85', ' 195', ' 68'] : 100 : Isomorphic CA: [3, 102, 15, 68]
CA: ['3', ' 85', ' 240', ' 17'] : 100 : Isomorphic CA: [3, 170, 15, 17]
CA: ['3', ' 85', ' 240', ' 68'] : 100 : Isomorphic CA: [3, 170, 15, 68]
CA: ['3', ' 170', ' 15', ' 17'] : 100 : Isomorphic CA: [3, 85, 240, 17]
CA: ['3', ' 170', ' 15', ' 68'] : 100 : Isomorphic CA: [3, 85, 240, 68]
CA: ['3', ' 170', ' 60', ' 17'] : 100 : Isomorphic CA: [3, 102, 240, 17]
CA: ['3', ' 170', ' 60', ' 68'] : 100 : Isomorphic CA: [3, 102, 240, 68]
CA: ['3', ' 170', ' 195', ' 17'] : 100 : Isomorphic CA: [3, 153, 240, 17]
CA: ['3', ' 170', ' 195', ' 68'] : 100 : Isomorphic CA: [3, 153, 240, 68]
CA: ['3', ' 170', ' 240', ' 17'] : 100 : Isomorphic CA: [3, 170, 240, 17]
CA: ['3', ' 170', ' 240', ' 68'] : 100 : Isomorphic CA: [3, 170, 240, 68]
CA: ['3', ' 102', ' 51', ' 17'] : 100 : Isomorphic CA: [3, 153, 51, 17]
CA: ['3', ' 102', ' 51', ' 20'] : 100 : Isomorphic CA: [3, 153, 51, 65]
CA: ['3', ' 102', ' 51', ' 65'] : 100 : Isomorphic CA: [3, 153, 51, 20]
CA: ['3', ' 102', ' 51', ' 68'] : 100 : Isomorphic CA: [3, 153, 51, 68]
CA: ['3', ' 102', ' 204', ' 17'] : 100 : Isomorphic CA: [3, 102, 204, 17]
CA: ['3', ' 102', ' 204', ' 20'] : 100 : Isomorphic CA: [3, 102, 204, 20]
CA: ['3', ' 102', ' 204', ' 65'] : 100 : Isomorphic CA: [3, 102, 204, 65]
CA: ['3', ' 102', ' 204', ' 68'] : 100 : Isomorphic CA: [3, 102, 204, 68]
CA: ['3', ' 102', ' 15', ' 17'] : 100 : Isomorphic CA: [3, 85, 195, 17]
CA: ['3', ' 102', ' 15', ' 68'] : 100 : Isomorphic CA: [3, 85, 195, 68]
CA: ['3', ' 102', ' 240', ' 17'] : 100 : Isomorphic CA: [3, 170, 60, 17]
CA: ['3', ' 102', ' 240', ' 68'] : 100 : Isomorphic CA: [3, 170, 60, 68]
CA: ['3', ' 105', ' 51', ' 17'] : 100 : Isomorphic CA: [3, 105, 51, 17]
CA: ['3', ' 105', ' 51', ' 20'] : 100 : Isomorphic CA: [3, 105, 51, 65]
CA: ['3', ' 105', ' 51', ' 65'] : 100 : Isomorphic CA: [3, 105, 51, 20]
CA: ['3', ' 105', ' 51', ' 68'] : 100 : Isomorphic CA: [3, 105, 51, 68]
CA: ['3', ' 105', ' 204', ' 17'] : 100 : Isomorphic CA: [3, 150, 204, 17]
CA: ['3', ' 105', ' 204', ' 20'] : 100 : Isomorphic CA: [3, 150, 204, 20]
CA: ['3', ' 105', ' 204', ' 65'] : 100 : Isomorphic CA: [3, 150, 204, 65]
CA: ['3', ' 105', ' 204', ' 68'] : 100 : Isomorphic CA: [3, 150, 204, 68]
CA: ['3', ' 150', ' 51', ' 17'] : 100 : Isomorphic CA: [3, 150, 51, 17]
CA: ['3', ' 150', ' 51', ' 20'] : 100 : Isomorphic CA: [3, 150, 51, 65]
CA: ['3', ' 150', ' 51', ' 65'] : 100 : Isomorphic CA: [3, 150, 51, 20]
CA: ['3', ' 150', ' 51', ' 68'] : 100 : Isomorphic CA: [3, 150, 51, 68]
CA: ['3', ' 150', ' 204', ' 17'] : 100 : Isomorphic CA: [3, 105, 204, 17]
CA: ['3', ' 150', ' 204', ' 20'] : 100 : Isomorphic CA: [3, 105, 204, 20]
CA: ['3', ' 150', ' 204', ' 65'] : 100 : Isomorphic CA: [3, 105, 204, 65]
CA: ['3', ' 150', ' 204', ' 68'] : 100 : Isomorphic CA: [3, 105, 204, 68]
CA: ['3', ' 153', ' 51', ' 17'] : 100 : Isomorphic CA: [3, 102, 51, 17]
CA: ['3', ' 153', ' 51', ' 20'] : 100 : Isomorphic CA: [3, 102, 51, 65]
CA: ['3', ' 153', ' 51', ' 65'] : 100 : Isomorphic CA: [3, 102, 51, 20]
CA: ['3', ' 153', ' 51', ' 68'] : 100 : Isomorphic CA: [3, 102, 51, 68]
CA: ['3', ' 153', ' 204', ' 17'] : 100 : Isomorphic CA: [3, 153, 204, 17]
CA: ['3', ' 153', ' 204', ' 20'] : 100 : Isomorphic CA: [3, 153, 204, 20]
CA: ['3', ' 153', ' 204', ' 65'] : 100 : Isomorphic CA: [3, 153, 204, 65]
CA: ['3', ' 153', ' 204', ' 68'] : 100 : Isomorphic CA: [3, 153, 204, 68]
CA: ['3', ' 153', ' 15', ' 17'] : 100 : Isomorphic CA: [3, 85, 60, 17]
CA: ['3', ' 153', ' 15', ' 68'] : 100 : Isomorphic CA: [3, 85, 60, 68]
CA: ['3', ' 153', ' 240', ' 17'] : 100 : Isomorphic CA: [3, 170, 195, 17]
CA: ['3', ' 153', ' 240', ' 68'] : 100 : Isomorphic CA: [3, 170, 195, 68]
CA: ['3', ' 54', ' 51', ' 17'] : 100 : Isomorphic CA: [3, 147, 51, 17]
CA: ['3', ' 54', ' 51', ' 20'] : 100 : Isomorphic CA: [3, 147, 51, 65]
CA: ['3', ' 54', ' 51', ' 65'] : 100 : Isomorphic CA: [3, 147, 51, 20]
CA: ['3', ' 54', ' 51', ' 68'] : 100 : Isomorphic CA: [3, 147, 51, 68]
CA: ['3', ' 54', ' 204', ' 17'] : 100 : Isomorphic CA: [3, 99, 204, 17]
CA: ['3', ' 54', ' 204', ' 20'] : 100 : Isomorphic CA: [3, 99, 204, 20]
CA: ['3', ' 54', ' 204', ' 65'] : 100 : Isomorphic CA: [3, 99, 204, 65]
CA: ['3', ' 54', ' 204', ' 68'] : 100 : Isomorphic CA: [3, 99, 204, 68]
CA: ['3', ' 57', ' 51', ' 17'] : 100 : Isomorphic CA: [3, 99, 51, 17]
CA: ['3', ' 57', ' 51', ' 20'] : 100 : Isomorphic CA: [3, 99, 51, 65]
CA: ['3', ' 57', ' 51', ' 65'] : 100 : Isomorphic CA: [3, 99, 51, 20]
CA: ['3', ' 57', ' 51', ' 68'] : 100 : Isomorphic CA: [3, 99, 51, 68]
CA: ['3', ' 57', ' 204', ' 17'] : 100 : Isomorphic CA: [3, 147, 204, 17]
CA: ['3', ' 57', ' 204', ' 20'] : 100 : Isomorphic CA: [3, 147, 204, 20]
CA: ['3', ' 57', ' 204', ' 65'] : 100 : Isomorphic CA: [3, 147, 204, 65]
CA: ['3', ' 57', ' 204', ' 68'] : 100 : Isomorphic CA: [3, 147, 204, 68]
CA: ['3', ' 99', ' 51', ' 17'] : 100 : Isomorphic CA: [3, 57, 51, 17]
CA: ['3', ' 99', ' 51', ' 20'] : 100 : Isomorphic CA: [3, 57, 51, 65]
CA: ['3', ' 99', ' 51', ' 65'] : 100 : Isomorphic CA: [3, 57, 51, 20]
CA: ['3', ' 99', ' 51', ' 68'] : 100 : Isomorphic CA: [3, 57, 51, 68]
CA: ['3', ' 99', ' 204', ' 17'] : 100 : Isomorphic CA: [3, 54, 204, 17]
CA: ['3', ' 99', ' 204', ' 20'] : 100 : Isomorphic CA: [3, 54, 204, 20]
CA: ['3', ' 99', ' 204', ' 65'] : 100 : Isomorphic CA: [3, 54, 204, 65]
CA: ['3', ' 99', ' 204', ' 68'] : 100 : Isomorphic CA: [3, 54, 204, 68]
CA: ['3', ' 108', ' 51', ' 17'] : 100 : Isomorphic CA: [3, 201, 51, 17]
CA: ['3', ' 108', ' 51', ' 20'] : 100 : Isomorphic CA: [3, 201, 51, 65]
CA: ['3', ' 108', ' 51', ' 65'] : 100 : Isomorphic CA: [3, 201, 51, 20]
CA: ['3', ' 108', ' 51', ' 68'] : 100 : Isomorphic CA: [3, 201, 51, 68]
CA: ['3', ' 108', ' 204', ' 17'] : 100 : Isomorphic CA: [3, 198, 204, 17]
CA: ['3', ' 108', ' 204', ' 20'] : 100 : Isomorphic CA: [3, 198, 204, 20]
CA: ['3', ' 108', ' 204', ' 65'] : 100 : Isomorphic CA: [3, 198, 204, 65]
CA: ['3', ' 108', ' 204', ' 68'] : 100 : Isomorphic CA: [3, 198, 204, 68]
CA: ['3', ' 147', ' 51', ' 17'] : 100 : Isomorphic CA: [3, 54, 51, 17]
CA: ['3', ' 147', ' 51', ' 20'] : 100 : Isomorphic CA: [3, 54, 51, 65]
CA: ['3', ' 147', ' 51', ' 65'] : 100 : Isomorphic CA: [3, 54, 51, 20]
CA: ['3', ' 147', ' 51', ' 68'] : 100 : Isomorphic CA: [3, 54, 51, 68]
CA: ['3', ' 147', ' 204', ' 17'] : 100 : Isomorphic CA: [3, 57, 204, 17]
CA: ['3', ' 147', ' 204', ' 20'] : 100 : Isomorphic CA: [3, 57, 204, 20]
CA: ['3', ' 147', ' 204', ' 65'] : 100 : Isomorphic CA: [3, 57, 204, 65]
CA: ['3', ' 147', ' 204', ' 68'] : 100 : Isomorphic CA: [3, 57, 204, 68]
CA: ['3', ' 156', ' 51', ' 17'] : 100 : Isomorphic CA: [3, 198, 51, 17]
CA: ['3', ' 156', ' 51', ' 20'] : 100 : Isomorphic CA: [3, 198, 51, 65]
CA: ['3', ' 156', ' 51', ' 65'] : 100 : Isomorphic CA: [3, 198, 51, 20]
CA: ['3', ' 156', ' 51', ' 68'] : 100 : Isomorphic CA: [3, 198, 51, 68]
CA: ['3', ' 156', ' 204', ' 17'] : 100 : Isomorphic CA: [3, 201, 204, 17]
CA: ['3', ' 156', ' 204', ' 20'] : 100 : Isomorphic CA: [3, 201, 204, 20]
CA: ['3', ' 156', ' 204', ' 65'] : 100 : Isomorphic CA: [3, 201, 204, 65]
CA: ['3', ' 156', ' 204', ' 68'] : 100 : Isomorphic CA: [3, 201, 204, 68]
CA: ['3', ' 198', ' 51', ' 17'] : 100 : Isomorphic CA: [3, 156, 51, 17]
CA: ['3', ' 198', ' 51', ' 20'] : 100 : Isomorphic CA: [3, 156, 51, 65]
CA: ['3', ' 198', ' 51', ' 65'] : 100 : Isomorphic CA: [3, 156, 51, 20]
CA: ['3', ' 198', ' 51', ' 68'] : 100 : Isomorphic CA: [3, 156, 51, 68]
CA: ['3', ' 198', ' 204', ' 17'] : 100 : Isomorphic CA: [3, 108, 204, 17]
CA: ['3', ' 198', ' 204', ' 20'] : 100 : Isomorphic CA: [3, 108, 204, 20]
CA: ['3', ' 198', ' 204', ' 65'] : 100 : Isomorphic CA: [3, 108, 204, 65]
CA: ['3', ' 198', ' 204', ' 68'] : 100 : Isomorphic CA: [3, 108, 204, 68]
CA: ['3', ' 201', ' 51', ' 17'] : 100 : Isomorphic CA: [3, 108, 51, 17]
CA: ['3', ' 201', ' 51', ' 20'] : 100 : Isomorphic CA: [3, 108, 51, 65]
CA: ['3', ' 201', ' 51', ' 65'] : 100 : Isomorphic CA: [3, 108, 51, 20]
CA: ['3', ' 201', ' 51', ' 68'] : 100 : Isomorphic CA: [3, 108, 51, 68]
CA: ['3', ' 201', ' 204', ' 17'] : 100 : Isomorphic CA: [3, 156, 204, 17]
CA: ['3', ' 201', ' 204', ' 20'] : 100 : Isomorphic CA: [3, 156, 204, 20]
CA: ['3', ' 201', ' 204', ' 65'] : 100 : Isomorphic CA: [3, 156, 204, 65]
CA: ['3', ' 201', ' 204', ' 68'] : 100 : Isomorphic CA: [3, 156, 204, 68]
CA: ['12', ' 51', ' 51', ' 17'] : 100 : Isomorphic CA: [12, 51, 51, 17]
CA: ['12', ' 51', ' 51', ' 20'] : 100 : Isomorphic CA: [12, 51, 51, 65]
CA: ['12', ' 51', ' 51', ' 65'] : 100 : Isomorphic CA: [12, 51, 51, 20]
CA: ['12', ' 51', ' 51', ' 68'] : 100 : Isomorphic CA: [12, 51, 51, 68]
CA: ['12', ' 51', ' 204', ' 17'] : 100 : Isomorphic CA: [12, 51, 204, 17]
CA: ['12', ' 51', ' 204', ' 20'] : 100 : Isomorphic CA: [12, 51, 204, 20]
CA: ['12', ' 51', ' 204', ' 65'] : 100 : Isomorphic CA: [12, 51, 204, 65]
CA: ['12', ' 51', ' 204', ' 68'] : 100 : Isomorphic CA: [12, 51, 204, 68]
CA: ['12', ' 51', ' 60', ' 17'] : 100 : Isomorphic CA: [12, 51, 195, 17]
CA: ['12', ' 51', ' 60', ' 68'] : 100 : Isomorphic CA: [12, 51, 195, 68]
CA: ['12', ' 51', ' 195', ' 17'] : 100 : Isomorphic CA: [12, 51, 60, 17]
CA: ['12', ' 51', ' 195', ' 68'] : 100 : Isomorphic CA: [12, 51, 60, 68]
CA: ['12', ' 51', ' 85', ' 5'] : 100 : Isomorphic CA: [12, 51, 85, 5]
CA: ['12', ' 51', ' 85', ' 20'] : 100 : Isomorphic CA: [12, 51, 153, 5]
CA: ['12', ' 51', ' 85', ' 65'] : 100 : Isomorphic CA: [12, 51, 102, 5]
