CA: ['3', ' 60', ' 170', ' 5'] : 000
CA: ['3', ' 60', ' 170', ' 20'] : 000
CA: ['3', ' 60', ' 170', ' 65'] : 000
CA: ['3', ' 60', ' 170', ' 80'] : 000
CA: ['3', ' 60', ' 102', ' 5'] : 000
CA: ['3', ' 60', ' 102', ' 17'] : 000
CA: ['3', ' 60', ' 102', ' 68'] : 000
CA: ['3', ' 60', ' 102', ' 80'] : 000
CA: ['3', ' 60', ' 105', ' 5'] : 000
CA: ['3', ' 60', ' 105', ' 17'] : 000
CA: ['3', ' 60', ' 105', ' 68'] : 000
CA: ['3', ' 60', ' 105', ' 80'] : 000
CA: ['3', ' 60', ' 150', ' 5'] : 000
CA: ['3', ' 60', ' 150', ' 17'] : 000
CA: ['3', ' 60', ' 150', ' 68'] : 000
CA: ['3', ' 60', ' 150', ' 80'] : 000
CA: ['3', ' 60', ' 153', ' 5'] : 000
CA: ['3', ' 60', ' 153', ' 17'] : 000
CA: ['3', ' 60', ' 153', ' 68'] : 000
CA: ['3', ' 60', ' 153', ' 80'] : 000
CA: ['3', ' 60', ' 53', ' 20'] : 000
CA: ['3', ' 60', ' 53', ' 65'] : 000
CA: ['3', ' 60', ' 58', ' 20'] : 000
CA: ['3', ' 60', ' 58', ' 65'] : 000
CA: ['3', ' 60', ' 83', ' 20'] : 000
CA: ['3', ' 60', ' 83', ' 65'] : 000
CA: ['3', ' 60', ' 92', ' 20'] : 000
CA: ['3', ' 60', ' 92', ' 65'] : 000
CA: ['3', ' 60', ' 163', ' 20'] : 000
CA: ['3', ' 60', ' 163', ' 65'] : 000
CA: ['3', ' 60', ' 172', ' 20'] : 000
CA: ['3', ' 60', ' 172', ' 65'] : 000
CA: ['3', ' 60', ' 197', ' 20'] : 000
CA: ['3', ' 60', ' 197', ' 65'] : 000
CA: ['3', ' 60', ' 202', ' 20'] : 000
CA: ['3', ' 60', ' 202', ' 65'] : 000
CA: ['3', ' 60', ' 54', ' 17'] : 000
CA: ['3', ' 60', ' 54', ' 68'] : 000
CA: ['3', ' 60', ' 57', ' 17'] : 000
CA: ['3', ' 60', ' 57', ' 68'] : 000
CA: ['3', ' 60', ' 99', ' 17'] : 000
CA: ['3', ' 60', ' 99', ' 68'] : 000
CA: ['3', ' 60', ' 108', ' 17'] : 000
CA: ['3', ' 60', ' 108', ' 68'] : 000
